system;name
Combustíveis;Combustíveis
Combustíveis;Abastecimento de combustível
Pneumático;Direção
Pneumático;Rodas e pneus
Pneumático;Suspensão
Mecânico;Arrefecimento
Mecânico;Câmbio
Mecânico;Escape
Mecânico;Freios
Mecânico;Motor
Mecânico;Transmissão
Elétrico;Armazenamento elétrico
Elétrico;Áudio
Elétrico;Iluminação
Elétrico;Indicadores e medidores
Serviços;Atividades
Serviços;Mão-de-obra
Despesas;Despesas de viagens
Despesas;Encargos
Funilaria;Funilaria
Acessórios;Acessórios

